sta,group,ecoreg,date,log_q1_mon,sci_1mo,sci_2mo,sci_3mo,sci_4mo,sci_6mo,sci_9mo,sci_12mo,season,trend,remainder,remainder_l1,remainder_l2,anomaly,final_group
bat_her,Black Hills Plateau,Black Hills Plateau,1988-10-15,0.954,-1.287,,,,,,,-0.00868713989143011,-1.71016095039027,0.431848090281705,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1988-11-15,1.096,-1.42,-1.398,,,,,,0.102549482307339,-1.68862503244922,0.166075550141884,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1988-12-15,1.056,-1.399,-1.41,-1.405,,,,,0.0879648198039955,-1.66708911450817,0.180124294704177,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-01-15,1.023,-1.425,-1.411,-1.416,-1.408,,,,0.11247331614036,-1.64555319656712,0.108079880426762,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-02-15,0.99,-1.42,-1.428,-1.415,-1.418,,,,0.115065242201054,-1.62401727862607,0.0889520364250176,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-03-15,1.047,-1.344,-1.384,-1.4,-1.399,-1.402,,,0.108285602215752,-1.60248136068502,0.150195758469267,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-04-15,0.962,-1.611,-1.493,-1.474,-1.468,-1.45,,,0.0994839715921776,-1.58094544274397,-0.129538528848209,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-05-15,0.893,-1.747,-1.692,-1.644,-1.619,-1.573,,,-0.137675856849576,-1.55893994773353,-0.0503841954168909,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-06-15,0.762,-1.815,-1.767,-1.679,-1.713,-1.711,-1.645,,-0.248929463634377,-1.5369344527231,-0.0291360836425258,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-07-15,0.324,-1.814,-1.867,-1.795,-1.72,-1.778,-1.748,,-0.188997828121346,-1.51492895771266,-0.110073214165993,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-08-15,0.357,-1.987,-1.825,-1.882,-1.764,-1.823,-1.824,,-0.0528846649742287,-1.49292346270223,-0.441191872323546,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-09-15,0.882,-1.428,-1.737,-1.751,-1.756,-1.746,-1.796,-1.763,0.0113525193373737,-1.47091796769179,0.0315654483544154,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-10-15,0.906,-1.332,-1.425,-1.645,-1.693,-1.489,-1.732,-1.737,-0.00868713989143011,-1.44891247268135,0.125599612572783,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-11-15,1.001,-1.591,-1.498,-1.469,-1.56,-1.562,-1.683,-1.719,0.102549482307339,-1.42695872852022,-0.26659075378712,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1989-12-15,0.946,-1.591,-1.591,-1.532,-1.531,-1.573,-1.635,-1.698,0.0879648198039955,-1.40500498435909,-0.27395983544491,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-01-15,1.124,-1.225,-1.418,-1.479,-1.469,-1.581,-1.485,-1.647,0.11247331614036,-1.38305124019795,0.045577924057592,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-02-15,0.888,-1.6,-1.428,-1.482,-1.511,-1.528,-1.465,-1.612,0.115065242201054,-1.36109749603682,-0.353967746164235,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-03-15,0.852,-1.662,-1.637,-1.517,-1.534,-1.524,-1.617,-1.581,0.108285602215752,-1.33914375187568,-0.431141850340068,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-04-15,0.934,-1.662,-1.689,-1.666,-1.57,-1.579,-1.651,-1.492,0.0994839715921776,-1.31719000771455,-0.444293963877627,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-05-15,1.294,-1.201,-1.426,-1.551,-1.587,-1.553,-1.616,-1.618,-0.137675856849576,-1.29550087491933,0.232176731768904,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-06-15,1.931,-0.306,-0.759,-1.039,-1.229,-1.337,-1.44,-1.636,-0.248929463634377,-1.2738117421241,1.21674120575848,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
bat_her,Black Hills Plateau,Black Hills Plateau,1990-07-15,1.447,-0.771,-0.561,-0.772,-0.965,-1.215,-1.337,-1.565,-0.188997828121346,-1.25212260932888,0.670120437450227,-3.29922184874405,3.29922184874405,No,Black Hills Plateau
